recall	queries_per_sec	method
0.29619	1496.96809198	PUFFINN
0.29877	1406.83284136	PUFFINN
0.41971	1101.34912579	PUFFINN
0.62737	624.225179356	PUFFINN
0.63911	604.867355454	PUFFINN
0.78498	416.962652408	PUFFINN
0.9089	204.558583915	PUFFINN
0.94796	141.226799127	PUFFINN
0.94914	96.2194445229	PUFFINN
0.98216	78.815732762	PUFFINN
0.98383	57.2731644942	PUFFINN
0.00371	34118.9227532	RPForest
0.00758	27475.436683	RPForest
0.01144	14648.2151183	RPForest
0.01609	14291.4863466	RPForest
0.02398	10853.8970533	RPForest
0.04636	4779.96762074	RPForest
0.07993	2758.52816027	RPForest
0.15321	1204.44203012	RPForest
0.16427	1129.31496153	RPForest
0.20583	704.876056093	RPForest
0.2954	503.852643706	RPForest
0.38588	291.88863598	RPForest
0.63682	129.523011637	RPForest
0.75606	80.2368023891	RPForest
0.94284	25.3451180057	RPForest
0.85548	7392.53358873	scann
0.86642	7012.31613858	scann
0.87252	6863.53919895	scann
0.88126	6458.86957648	scann
0.88866	6060.6600063	scann
0.89914	5530.05871405	scann
0.9072	5203.07194692	scann
0.91208	4961.09595133	scann
0.9202	4496.4140106	scann
0.92941	3974.92886824	scann
0.94117	3447.47676389	scann
0.95183	2996.63713662	scann
0.9606	2647.51671589	scann
0.96513	2402.90757096	scann
0.97264	2057.4483897	scann
0.9768	1804.80879987	scann
0.98034	1637.06144648	scann
0.98467	1472.41453673	scann
0.98961	1203.39872091	scann
0.99389	948.208401463	scann
0.9983	597.548524718	scann
0.06367	4717.30500126	SW-Graph(nmslib)
0.0764	4488.93910961	SW-Graph(nmslib)
0.09416	4117.15671743	SW-Graph(nmslib)
0.10095	3957.13919384	SW-Graph(nmslib)
0.12749	3378.39983227	SW-Graph(nmslib)
0.16256	2706.77409858	SW-Graph(nmslib)
0.18741	2282.91483472	SW-Graph(nmslib)
0.20761	1999.35676288	SW-Graph(nmslib)
0.62099	1729.62023897	SW-Graph(nmslib)
0.67113	1455.10179337	SW-Graph(nmslib)
0.72875	1125.69956258	SW-Graph(nmslib)
0.79597	939.185370156	SW-Graph(nmslib)
0.84284	711.318612807	SW-Graph(nmslib)
0.87951	531.110660827	SW-Graph(nmslib)
0.90458	405.273899016	SW-Graph(nmslib)
0.91797	341.911984865	SW-Graph(nmslib)
0.93303	273.744265705	SW-Graph(nmslib)
0.94754	212.601878543	SW-Graph(nmslib)
0.95712	174.947543212	SW-Graph(nmslib)
0.96631	142.658762039	SW-Graph(nmslib)
0.97251	121.05049402	SW-Graph(nmslib)
0.97667	105.478377963	SW-Graph(nmslib)
0.97858	99.3078312559	SW-Graph(nmslib)
